2019-09-21T16:04:18.538Z info: Using account 0xB7Cdb42e908FaD24A84CB61373f42ED273E2065a
2019-09-21T16:04:18.985Z verbose: Handling pending orders for block 8593565
2019-09-21T16:04:18.990Z verbose: Looking for new orders until block 8593565
2019-09-21T16:04:19.230Z info: Found ETH Order 0xa74dada09b3d7c5abb1316c9dc31f997bffaf2c95513b6ae190752789a5b34eb
2019-09-21T16:04:19.230Z debug: Processing raw order 0x000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee000000000000000000000000f970b8e36e23f7fc3fd752eea86f8be8d83375a600000000000000000000000000000000000000000000001e2eaafc9502d6c0000000000000000000000000000000000000000000000000000029362377696cd00000000000000000000000003ad152a06fb23d66aa498c53e451ed5c7ac632f1ca778e9f3579fa13232b9a479cf67b214d2930d75416c0476ebc69de2111acf4000000000000000000000000fb37d513c2139969841f24da4adeda93556dc1cd
2019-09-21T16:04:19.345Z debug: Processed order 0x3Ad152a06FB23d66aa498C53E451Ed5C7ac632F1 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE -> 0xF970b8E36e23F7fC3FD752EeA86f8Be8D83375A6
2019-09-21T16:04:19.345Z info: Found ETH Order 0x97ed10d35631c2fedf10a0fa9579f04b6e3ed8bc87a4c548c5085ed67e28cbd2
2019-09-21T16:04:19.345Z debug: Processing raw order 0x000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee00000000000000000000000089d24a6b4ccb1b6faa2625fe562bdd9a23260359000000000000000000000000000000000000000000000006c6c54a00ec1080000000000000000000000000000000000000000000000000000029362377696cd000000000000000000000000035d803f11e900fb6300946b525f0d08d1ffd4bed7a23601097345c4ac0a2a5cd49a6cc4c98adc198bd376a8173f5b84c23f1cd11000000000000000000000000bd5b0dee1c054b77797e36377c0647007bc02ada
2019-09-21T16:04:19.466Z debug: Processed order 0x35d803F11E900fb6300946b525f0d08D1Ffd4bed 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE -> 0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359
2019-09-21T16:04:19.467Z info: Found ETH Order 0x11ae9cde89f20febbd847095caa07a8575be2a32d3c9ba0d957bf03cf05e4a99
2019-09-21T16:04:19.467Z debug: Processing raw order 0x000000000000000000000000eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee0000000000000000000000000f5d2fb29fb7d3cfee444a200298f468908cc94200000000000000000000000000000000000000000000004ab397730b084800000000000000000000000000000000000000000000000000000029362377696cd000000000000000000000000087956abc4078a0cc3b89b419928b857b8af826edb92b5a5075bbf7bf17d8754b2ddcf353063a8d3ec323fbf54baaecdff5c44e28000000000000000000000000a9716c62e17c6812d0ad500641c78c8695991cc4
2019-09-21T16:04:19.574Z debug: Processed order 0x87956abC4078a0Cc3b89b419928b857B8AF826Ed 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE -> 0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
2019-09-21T16:04:19.845Z debug: 1/921 - Monitoring token 0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
2019-09-21T16:04:22.012Z verbose: Handling pending orders for block 8593566
2019-09-21T16:04:22.132Z verbose: Loaded order by 0x3Ad152a06FB23d66aa498C53E451Ed5C7ac632F1: 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE -> 0xF970b8E36e23F7fC3FD752EeA86f8Be8D83375A6
2019-09-21T16:04:22.132Z verbose: Order no long exists, removing it from pool
2019-09-21T16:04:22.269Z verbose: Loaded order by 0x35d803F11E900fb6300946b525f0d08D1Ffd4bed: 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE -> 0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359
2019-09-21T16:04:22.386Z verbose: Order not ready to be filled, 0x35d803F11E900fb6300946b525f0d08D1Ffd4bed: 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE -> 0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359
2019-09-21T16:04:22.511Z verbose: Loaded order by 0x87956abC4078a0Cc3b89b419928b857B8AF826Ed: 0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE -> 0x0F5D2fB29fb7d3CFeE444a200298f468908cC942
2019-09-21T16:04:22.511Z verbose: Order no long exists, removing it from pool
2019-09-21T16:04:23.938Z debug: 1/2092 - Check TX 0x73d014b2ece32d101259fe1afea258d7bdf5bb6a2ba7adcd36f5792d8562aa24
2019-09-21T16:04:24.047Z debug: 2/2092 - Check TX 0x59edaa97b9b065fad21007b8c8fd75121309ff7bdf342980fce0ef3271d5d5b6
2019-09-21T16:04:24.155Z debug: 3/2092 - Check TX 0xc377038a2e2d54681d37a1a9c5b96905fa704427030ab7c1c0bf373ba40445ba
2019-09-21T16:04:24.265Z debug: 4/2092 - Check TX 0x2aa34af19bbd284aafa8344ea53cee769026804bbebaa71cc2612cbda4ed097b
2019-09-21T16:04:24.380Z debug: 5/2092 - Check TX 0x5d6bc460a5abc447df32bb84fc6ec6c7084bf44f20aac187fcb35b3981c2ab6b
2019-09-21T16:04:24.494Z debug: 8/2092 - Check TX 0x982b841a30ed9e3b84365a6ac35d5d3f93f1dce082c0bba6af7665a9531ec5a9
2019-09-21T16:04:24.612Z debug: 9/2092 - Check TX 0x6e2e7aa0a6d162b9e5c22970c665158156dc7663ef39c7dba573aeb8f8ffc9f5
2019-09-21T16:04:24.727Z debug: 10/2092 - Check TX 0xe12c8fbb2cd08c62fa601da1ad5bb8bca72828f360397500ed34b3a10dcb7e63
2019-09-21T16:04:24.844Z debug: 11/2092 - Check TX 0xd0eb8776a5794f39ce86fea843bc4093e2fdddbe1aa1099f283509326645b5de
2019-09-21T16:04:24.960Z debug: 13/2092 - Check TX 0x9793f166897d9328d134434755aa90b6fcb8f857ae9a9a4823e62ba47438e421
2019-09-21T16:04:25.073Z debug: 14/2092 - Check TX 0x57cebccf60f5a867815c197473442d557cb58df6551345369b52003d3c267cc0
2019-09-21T16:04:25.185Z debug: 15/2092 - Check TX 0x602d92b33f4dfc917c37c0db2e662674642ad4bbb92f92692ac4bf83afc54c99
2019-09-21T16:04:25.294Z debug: 17/2092 - Check TX 0xbbe30e7671be0e7940f2c1c4481a75c69422005b2f344be0a8539ee3e603c7fe
2019-09-21T16:04:25.405Z debug: 18/2092 - Check TX 0xed54b3d3bad0811b2dd1d2cdad39446a7f60359ffcd2713516b796f08dd6e89c
2019-09-21T16:04:25.515Z debug: 20/2092 - Check TX 0x69f700c7a0ea96bc5fbcb6e6d8537850d30ff083b7868705af0b0c4f9283d711
2019-09-21T16:04:25.882Z debug: 21/2092 - Check TX 0x045cbcf4160565bcc0bdd20bd85757b23cc73922b88ec61b56b4fac22f7bcc83
2019-09-21T16:04:26.001Z debug: 22/2092 - Check TX 0x57abd4a823bd6eb618fc0adb6dd839f3b6c2239d43ff3e9bccc4c25c3f7f1150
2019-09-21T16:04:26.109Z debug: 23/2092 - Check TX 0x4018bac88a452d876c37c85e9058d300b1df09c35b02edd69b23f9999d687ebd
2019-09-21T16:04:26.235Z debug: 25/2092 - Check TX 0x9bdb7bf4a5f8190c8f3bf31a5f1c4352964a2071d49da05712c4f21a702b3c6f
2019-09-21T16:04:26.371Z debug: 27/2092 - Check TX 0xcb33f3bccbcaacf83aec671dd25adc9ad74702577ea0416f09413045c6c52ac7
2019-09-21T16:04:26.481Z debug: 28/2092 - Check TX 0x0a2c705fc2e5aa47238f35ccf2f93a35755bbb034c92c77d3a3805d0df1e8f27
2019-09-21T16:04:26.592Z debug: 29/2092 - Check TX 0x1cc7ffad5ae21f559ea8606d857bb54849a0885a89d5537996101a22f57b833c
2019-09-21T16:04:26.704Z debug: 30/2092 - Check TX 0x6d1c062fa1c8b295ac4ff65d1aae67de9765f7a9fac0a8ea17efec54b79ee7e0
2019-09-21T16:04:27.055Z debug: 31/2092 - Check TX 0xf761096e8da7d6411e4bf16b5e2d244863fe2e559e5bc4347f735b570a03beea
2019-09-21T16:04:27.103Z verbose: Handling pending orders for block 8593568
2019-09-21T16:04:27.165Z debug: 32/2092 - Check TX 0xc51e6211217ef03de29af22293ffcd2391fa28a3e0171f73f416f761f4e37776
2019-09-21T16:04:27.279Z debug: 33/2092 - Check TX 0x42efe41664769da30f7e484a51d0f6dc021247f09f4f904aab9407e3021c0880
2019-09-21T16:04:27.397Z debug: 35/2092 - Check TX 0xf878ad6914bfa7e8b2ae9aff22f57487da5b4ac7d16411792642769a715386a3
2019-09-21T16:04:27.511Z debug: 37/2092 - Check TX 0x2297b6c976b8548399c0231280a2a34562670f71b3538aac855820be99ddf735
2019-09-21T16:04:27.627Z debug: 39/2092 - Check TX 0x7ef53e28e0e1113cc4d07424a1817bbbee55d4f194feebb41e1abdcd6c5e614b
2019-09-21T16:04:27.745Z debug: 40/2092 - Check TX 0x0b3299099fd8ce18f1e30d37a8aedaa491c2a2432f1bbc04fd18757614e79080
2019-09-21T16:04:27.864Z debug: 41/2092 - Check TX 0xbff01662795ff088f11ee29b2ecb10bb678d1df317fcd6b5657cb58dad6e312e
2019-09-21T16:04:27.977Z debug: 42/2092 - Check TX 0x518dca78a71a2c2eddf631e1a4c6d907798032136f9f2b066c168e2d277da2d0
2019-09-21T16:04:28.090Z debug: 43/2092 - Check TX 0x4e2adfab42003bc754173383245bfa2500ab456a3c6f76b9c192dfa29ee71760
2019-09-21T16:04:28.199Z debug: 44/2092 - Check TX 0x01b2ca378b7b6534462dca2bac679576d1703cbba88e61fe0c84515270a4bcde
2019-09-21T16:04:28.308Z debug: 45/2092 - Check TX 0x9a5075971c2ee0cd8d75ba92be4f426cd7edbdd2efe3103a7d760e3fc958c01e
2019-09-21T16:04:28.419Z debug: 46/2092 - Check TX 0x765e147e34a1e2934e10a997cfa5fa57317310b4ee08d4e40ce1a7649b6e8231
2019-09-21T16:04:28.535Z debug: 47/2092 - Check TX 0xcf149f51f3f8613622f38ce46de1bffb9593f7405acea791a4d21ab8a2a71365
2019-09-21T16:04:28.652Z debug: 48/2092 - Check TX 0xd0f8c52f065bae9f3ebf1bd3a36d3f5b2d79e842f0bfd3a6c7d07380e32af195
2019-09-21T16:04:28.801Z debug: 49/2092 - Check TX 0xf6f23c610b79753b25dfd5a3403d0c8af53d442a0919aa8ada75c539fd89e349
2019-09-21T16:04:28.963Z debug: 51/2092 - Check TX 0x97d7f3d930c99e13056328f072a59f5272059158979a79c976affcaf970f898c
2019-09-21T16:04:29.077Z debug: 53/2092 - Check TX 0xc3737f5707e85e2b568828792427a347d4832b7babd73913b9802ccec89f14b7
2019-09-21T16:04:29.202Z debug: 54/2092 - Check TX 0xa33a796645af617f90be40c691d12a9312bbfe5e7c4c595f42f66a984bb0523c
2019-09-21T16:04:29.313Z debug: 55/2092 - Check TX 0x0c1e616460a797a5d1fb67f8cefa8b1435b544a05542f49a86517c979ae89751
2019-09-21T16:04:29.427Z debug: 56/2092 - Check TX 0x787cecbb8111f7b2340060554034b2ccdc6a095b06d3f1816617b01a4439754c
2019-09-21T16:04:29.543Z debug: 57/2092 - Check TX 0x8e833d2732ff168803a9ad02779704058d3935cc7aba3e0edd53311a626a3deb
2019-09-21T16:04:29.664Z debug: 58/2092 - Check TX 0x11221d6d35408f69add2321fa372df4147a96cb8f7d7645f97f32954cd0114a5
2019-09-21T16:04:29.776Z debug: 59/2092 - Check TX 0x4725e2ce743edcee67554467d730a29b300288cd4e8647948d3f50ec4c5adf5d
2019-09-21T16:04:29.890Z debug: 60/2092 - Check TX 0x4477610c7a1607e37a140d294850d885b25843725ecce5169b007a55ec38d780
